"GEMEINDE_CODE","GEMEINDE_NAME","BEZIRK_CODE","BEZIRK_NAME","RAUMPLANUNGSREGION_CODE","RAUMPLANUNGSREGION_NAME"
297,"Bauma",108,"Pfäffikon",108,"Zürcher Oberland"
180,"Weisslingen",108,"Pfäffikon",109,"Winterthur und Umgebung"
176,"Lindau",108,"Pfäffikon",109,"Winterthur und Umgebung"
296,"Illnau-Effretikon",108,"Pfäffikon",109,"Winterthur und Umgebung"
160,"Zumikon",107,"Meilen",107,"Pfannenstiel"
158,"Stäfa",107,"Meilen",107,"Pfannenstiel"
153,"Hombrechtikon",107,"Meilen",107,"Pfannenstiel"
151,"Erlenbach (ZH)",107,"Meilen",107,"Pfannenstiel"
152,"Herrliberg",107,"Meilen",107,"Pfannenstiel"
161,"Zollikon",107,"Meilen",107,"Pfannenstiel"
159,"Uetikon am See",107,"Meilen",107,"Pfannenstiel"
156,"Meilen",107,"Meilen",107,"Pfannenstiel"
157,"Oetwil am See",107,"Meilen",107,"Pfannenstiel"
154,"Küsnacht (ZH)",107,"Meilen",107,"Pfannenstiel"
155,"Männedorf",107,"Meilen",107,"Pfannenstiel"
141,"Thalwil",106,"Horgen",106,"Zimmerberg"
131,"Adliswil",106,"Horgen",106,"Zimmerberg"
137,"Oberrieden",106,"Horgen",106,"Zimmerberg"
136,"Langnau am Albis",106,"Horgen",106,"Zimmerberg"
135,"Kilchberg (ZH)",106,"Horgen",106,"Zimmerberg"
139,"Rüschlikon",106,"Horgen",106,"Zimmerberg"
138,"Richterswil",106,"Horgen",106,"Zimmerberg"
295,"Horgen",106,"Horgen",106,"Zimmerberg"
293,"Wädenswil",106,"Horgen",106,"Zimmerberg"
121,"Wetzikon (ZH)",105,"Hinwil",108,"Zürcher Oberland"
120,"Wald (ZH)",105,"Hinwil",108,"Zürcher Oberland"
116,"Grüningen",105,"Hinwil",108,"Zürcher Oberland"
114,"Fischenthal",105,"Hinwil",108,"Zürcher Oberland"
115,"Gossau (ZH)",105,"Hinwil",108,"Zürcher Oberland"
117,"Hinwil",105,"Hinwil",108,"Zürcher Oberland"
113,"Dürnten",105,"Hinwil",108,"Zürcher Oberland"
112,"Bubikon",105,"Hinwil",108,"Zürcher Oberland"
111,"Bäretswil",105,"Hinwil",108,"Zürcher Oberland"
118,"Rüti (ZH)",105,"Hinwil",108,"Zürcher Oberland"
119,"Seegräben",105,"Hinwil",108,"Zürcher Oberland"
97,"Rümlang",104,"Dielsdorf",102,"Glattal"
87,"Hüttikon",104,"Dielsdorf",103,"Furttal"
83,"Buchs (ZH)",104,"Dielsdorf",103,"Furttal"
84,"Dällikon",104,"Dielsdorf",103,"Furttal"
85,"Dänikon",104,"Dielsdorf",103,"Furttal"
82,"Boppelsen",104,"Dielsdorf",103,"Furttal"
94,"Otelfingen",104,"Dielsdorf",103,"Furttal"
96,"Regensdorf",104,"Dielsdorf",103,"Furttal"
100,"Stadel",104,"Dielsdorf",111,"Zürcher Unterland"
102,"Weiach",104,"Dielsdorf",111,"Zürcher Unterland"
101,"Steinmaur",104,"Dielsdorf",111,"Zürcher Unterland"
86,"Dielsdorf",104,"Dielsdorf",111,"Zürcher Unterland"
81,"Bachs",104,"Dielsdorf",111,"Zürcher Unterland"
95,"Regensberg",104,"Dielsdorf",111,"Zürcher Unterland"
93,"Oberweningen",104,"Dielsdorf",111,"Zürcher Unterland"
92,"Oberglatt",104,"Dielsdorf",111,"Zürcher Unterland"
89,"Niederglatt",104,"Dielsdorf",111,"Zürcher Unterland"
88,"Neerach",104,"Dielsdorf",111,"Zürcher Unterland"
90,"Niederhasli",104,"Dielsdorf",111,"Zürcher Unterland"
91,"Niederweningen",104,"Dielsdorf",111,"Zürcher Unterland"
99,"Schöfflisdorf",104,"Dielsdorf",111,"Zürcher Unterland"
98,"Schleinikon",104,"Dielsdorf",111,"Zürcher Unterland"
69,"Wallisellen",103,"Bülach",102,"Glattal"
54,"Dietlikon",103,"Bülach",102,"Glattal"
52,"Bassersdorf",103,"Bülach",102,"Glattal"
66,"Opfikon",103,"Bülach",102,"Glattal"
62,"Kloten",103,"Bülach",102,"Glattal"
64,"Nürensdorf",103,"Bülach",102,"Glattal"
71,"Wil (ZH)",103,"Bülach",111,"Zürcher Unterland"
72,"Winkel",103,"Bülach",111,"Zürcher Unterland"
70,"Wasterkingen",103,"Bülach",111,"Zürcher Unterland"
57,"Freienstein-Teufen",103,"Bülach",111,"Zürcher Unterland"
58,"Glattfelden",103,"Bülach",111,"Zürcher Unterland"
59,"Hochfelden",103,"Bülach",111,"Zürcher Unterland"
55,"Eglisau",103,"Bülach",111,"Zürcher Unterland"
61,"Hüntwangen",103,"Bülach",111,"Zürcher Unterland"
60,"Höri",103,"Bülach",111,"Zürcher Unterland"
56,"Embrach",103,"Bülach",111,"Zürcher Unterland"
53,"Bülach",103,"Bülach",111,"Zürcher Unterland"
51,"Bachenbülach",103,"Bülach",111,"Zürcher Unterland"
65,"Oberembrach",103,"Bülach",111,"Zürcher Unterland"
63,"Lufingen",103,"Bülach",111,"Zürcher Unterland"
68,"Rorbas",103,"Bülach",111,"Zürcher Unterland"
67,"Rafz",103,"Bülach",111,"Zürcher Unterland"
40,"Trüllikon",102,"Andelfingen",110,"Weinland"
41,"Truttikon",102,"Andelfingen",110,"Weinland"
43,"Volken",102,"Andelfingen",110,"Weinland"
39,"Thalheim an der Thur",102,"Andelfingen",110,"Weinland"
29,"Flurlingen",102,"Andelfingen",110,"Weinland"
27,"Feuerthalen",102,"Andelfingen",110,"Weinland"
28,"Flaach",102,"Andelfingen",110,"Weinland"
26,"Dorf",102,"Andelfingen",110,"Weinland"
31,"Henggart",102,"Andelfingen",110,"Weinland"
25,"Dachsen",102,"Andelfingen",110,"Weinland"
23,"Berg am Irchel",102,"Andelfingen",110,"Weinland"
22,"Benken (ZH)",102,"Andelfingen",110,"Weinland"
37,"Ossingen",102,"Andelfingen",110,"Weinland"
34,"Laufen-Uhwiesen",102,"Andelfingen",110,"Weinland"
33,"Kleinandelfingen",102,"Andelfingen",110,"Weinland"
35,"Marthalen",102,"Andelfingen",110,"Weinland"
38,"Rheinau",102,"Andelfingen",110,"Weinland"
24,"Buch am Irchel",102,"Andelfingen",110,"Weinland"
292,"Stammheim",102,"Andelfingen",110,"Weinland"
291,"Andelfingen",102,"Andelfingen",110,"Weinland"
261,"Zürich",112,"Zürich",101,"Stadt Zürich"
241,"Aesch (ZH)",111,"Dietikon",104,"Limmattal"
242,"Birmensdorf (ZH)",111,"Dietikon",104,"Limmattal"
243,"Dietikon",111,"Dietikon",104,"Limmattal"
244,"Geroldswil",111,"Dietikon",104,"Limmattal"
245,"Oberengstringen",111,"Dietikon",104,"Limmattal"
246,"Oetwil an der Limmat",111,"Dietikon",104,"Limmattal"
247,"Schlieren",111,"Dietikon",104,"Limmattal"
248,"Uitikon",111,"Dietikon",104,"Limmattal"
249,"Unterengstringen",111,"Dietikon",104,"Limmattal"
250,"Urdorf",111,"Dietikon",104,"Limmattal"
251,"Weiningen (ZH)",111,"Dietikon",104,"Limmattal"
